id	entry	review_es	listen1_es	listen2_es	review_en	listen1_en	listen2_en	review_fr	listen1_fr	listen2_fr
album-065	Quicksand	Hunky Dory presenta a David Bowie como compositor antes que como personaje definitivo. Piano, guitarra y arreglos elegantes sostienen canciones sobre cambio, ambición, familia y figuras admiradas, pero ninguna voz termina de ser completamente confesional. El disco convierte esa inestabilidad de identidad en una herramienta: cada estilo parece una posibilidad todavía abierta.	Los cambios de acorde que alteran el tono de una frase.	La distancia entre una voz íntima y un arreglo teatral.	Hunky Dory presents David Bowie as a songwriter before he became a definitive character. Piano, guitar and elegant arrangements support songs about change, ambition, family and admired figures, yet no voice feels entirely confessional. The record turns unstable identity into a tool: every style sounds like a possibility still left open.	Chord changes that alter the tone of a phrase.	The distance between an intimate voice and a theatrical arrangement.	Hunky Dory présente David Bowie comme auteur avant qu’il ne devienne un personnage définitif. Piano, guitare et arrangements élégants portent des chansons sur le changement, l’ambition, la famille et les figures admirées, sans qu’aucune voix soit totalement confessionnelle. Le disque fait de l’identité instable un outil : chaque style demeure une possibilité ouverte.	Les changements d’accord qui modifient le ton d’une phrase.	La distance entre une voix intime et un arrangement théâtral.
album-066	La question	La question reduce el espacio hasta que cada gesto queda expuesto. La guitarra de Tuca evita el acompañamiento convencional: dibuja bajos, síncopas y silencios que sostienen la voz de Françoise Hardy sin encerrarla. Los arreglos discretos no eliminan la tensión; hacen que duda, deseo y despedida parezcan ocurrir a centímetros del oyente.	La independencia entre bajo y acordes dentro de una sola guitarra.	El aire que Hardy deja antes de terminar una frase.	La question narrows the space until every gesture stands exposed. Tuca’s guitar avoids conventional accompaniment, drawing bass lines, syncopations and silences that support Françoise Hardy without enclosing her. The discreet arrangements do not remove tension; they make doubt, desire and farewell seem to happen inches from the listener.	The independence of bass and chords within one guitar.	The air Hardy leaves before completing a phrase.	La question resserre l’espace jusqu’à exposer chaque geste. La guitare de Tuca évite l’accompagnement conventionnel : elle dessine basses, syncopes et silences qui soutiennent Françoise Hardy sans l’enfermer. Les arrangements discrets n’effacent pas la tension ; ils font paraître doute, désir et adieu à quelques centimètres de l’auditeur.	L’indépendance entre basse et accords au sein d’une seule guitare.	L’air que Hardy laisse avant d’achever une phrase.
album-049	Maggot Brain	Maggot Brain coloca una larga elegía de guitarra junto a canciones de funk, humor y psicodelia áspera. Esa convivencia explica mejor a Funkadelic que cualquier etiqueta: el grupo puede usar el estudio como vacío emocional y, pocos minutos después, como espacio de exceso colectivo. Eddie Hazel no presume velocidad; organiza dolor mediante tono, repetición y dinámica.	El paso de notas aisladas a capas cada vez más densas.	La contención de la banda alrededor de la guitarra de Hazel.	Maggot Brain places a long guitar elegy beside songs of funk, humour and rough psychedelia. That coexistence explains Funkadelic better than any label: the group can use the studio as emotional emptiness and, minutes later, as collective excess. Eddie Hazel does not display speed; he organizes pain through tone, repetition and dynamics.	The move from isolated notes into increasingly dense layers.	The band’s restraint around Hazel’s guitar.	Maggot Brain place une longue élégie de guitare à côté de morceaux de funk, d’humour et de psychédélisme rugueux. Cette coexistence explique Funkadelic mieux qu’une étiquette : le groupe utilise le studio comme vide émotionnel puis, quelques minutes plus tard, comme espace d’excès collectif. Eddie Hazel n’exhibe pas sa vitesse ; il organise la douleur par le timbre, la répétition et la dynamique.	Le passage de notes isolées à des couches de plus en plus denses.	La retenue du groupe autour de la guitare de Hazel.
album-067	Kaze wo Atsumete	Kazemachi Roman demuestra que adoptar instrumentos y formas del rock anglosajón no obligaba a Happy End a abandonar el ritmo del japonés ni la experiencia de Tokio. Las canciones observan calles, estaciones y cambios de estación con una producción cálida y contenida. Su modernidad está en hacer que idioma, ciudad y memoria cotidiana ocupen el centro.	La forma en que la métrica japonesa modifica el fraseo del rock.	Los detalles eléctricos que aparecen dentro de arreglos acústicos.	Kazemachi Roman shows that adopting instruments and forms from Anglo-American rock did not require Happy End to abandon the rhythm of Japanese or the experience of Tokyo. The songs observe streets, stations and changing seasons through warm, restrained production. Its modernity lies in placing language, city and everyday memory at the centre.	How Japanese metre reshapes rock phrasing.	Electric details appearing inside acoustic arrangements.	Kazemachi Roman montre qu’adopter les instruments et les formes du rock anglo-américain n’obligeait pas Happy End à abandonner le rythme du japonais ni l’expérience de Tokyo. Les chansons observent rues, gares et saisons changeantes dans une production chaleureuse et retenue. Sa modernité consiste à placer langue, ville et mémoire quotidienne au centre.	La manière dont la métrique japonaise transforme le phrasé rock.	Les détails électriques qui surgissent dans les arrangements acoustiques.
album-068	Ballade de Melody Nelson	Histoire de Melody Nelson concentra una narración incómoda en menos de media hora. La voz casi hablada de Serge Gainsbourg se apoya en un bajo elástico y una guitarra seca; las cuerdas de Jean-Claude Vannier amplían el relato hasta volverlo cinematográfico. La belleza del sonido nunca resuelve la perturbación moral de quien cuenta la historia.	El bajo como hilo continuo entre narración y orquesta.	Los momentos en que las cuerdas contradicen la frialdad de la voz.	Histoire de Melody Nelson compresses an unsettling narrative into less than half an hour. Serge Gainsbourg’s near-spoken voice rests on elastic bass and dry guitar; Jean-Claude Vannier’s strings enlarge the story until it becomes cinematic. The beauty of the sound never resolves the moral unease created by its narrator.	The bass as a continuous thread between narration and orchestra.	Moments when the strings contradict the voice’s coldness.	Histoire de Melody Nelson concentre un récit troublant en moins d’une demi-heure. La voix presque parlée de Serge Gainsbourg repose sur une basse élastique et une guitare sèche ; les cordes de Jean-Claude Vannier donnent au récit une ampleur cinématographique. La beauté sonore ne résout jamais le malaise moral produit par le narrateur.	La basse comme fil continu entre narration et orchestre.	Les moments où les cordes contredisent la froideur de la voix.
album-069	Na Boca do Sol	Arthur Verocai construye arreglos de gran riqueza sin volver pesadas las canciones. Samba, soul, jazz, guitarras eléctricas y cuerdas aparecen en formas breves que pueden cambiar de dirección en segundos. El disco recompensa la atención lateral: una flauta, un corte rítmico o una armonía inesperada suelen transformar el paisaje antes de que alcancen a anunciarse.	Los arreglos que cambian de escala dentro de una forma breve.	Los instrumentos secundarios que alteran el sentido de una melodía.	Arthur Verocai builds richly detailed arrangements without weighing the songs down. Samba, soul, jazz, electric guitars and strings appear in brief forms that can change direction within seconds. The record rewards peripheral attention: a flute, rhythmic break or unexpected harmony often transforms the landscape before it can announce itself.	Arrangements that change scale within a short form.	Secondary instruments that alter a melody’s meaning.	Arthur Verocai construit des arrangements d’une grande richesse sans alourdir les chansons. Samba, soul, jazz, guitares électriques et cordes apparaissent dans des formes brèves capables de changer de direction en quelques secondes. Le disque récompense l’écoute périphérique : flûte, rupture rythmique ou harmonie inattendue transforment souvent le paysage sans prévenir.	Les arrangements qui changent d’échelle dans une forme brève.	Les instruments secondaires qui modifient le sens d’une mélodie.
album-070	Mistério do Planeta	Acabou Chorare suena como una casa compartida convertida en método musical. Novos Baianos mezcla samba, choro, rock y canción popular con una soltura que depende de la escucha entre músicos. Guitarras, cavaquinho, percusión y voces cambian de primer plano sin competir; la alegría del disco proviene de esa circulación, no de una producción pulida.	El intercambio entre guitarra eléctrica y cavaquinho.	Las voces que pasan de solista a coro sin marcar una frontera.	Acabou Chorare sounds like a shared house turned into a musical method. Novos Baianos mix samba, choro, rock and popular song with an ease grounded in musicians listening to one another. Guitars, cavaquinho, percussion and voices move in and out of the foreground without competing; the record’s joy comes from that circulation, not polished production.	The exchange between electric guitar and cavaquinho.	Voices moving from solo to chorus without a hard boundary.	Acabou Chorare sonne comme une maison partagée devenue méthode musicale. Novos Baianos mêle samba, choro, rock et chanson populaire avec une aisance fondée sur l’écoute entre musiciens. Guitares, cavaquinho, percussions et voix passent au premier plan sans rivaliser ; la joie du disque vient de cette circulation, non d’une production lisse.	L’échange entre guitare électrique et cavaquinho.	Les voix qui passent du solo au chœur sans frontière nette.
album-071	Bajan	Artaud lleva el nombre de una banda, pero es una obra profundamente personal de Luis Alberto Spinetta. Las guitarras acústicas, las armonías abiertas y una voz capaz de pasar del susurro a la tensión sostienen imágenes surrealistas sin volverlas decoración. La extrañeza del álbum siempre conserva un centro humano: cuidado, fragilidad y resistencia.	Los acordes abiertos que dejan la melodía en suspensión.	Los cambios de intensidad realizados casi solo con la voz.	Artaud carries a band’s name but is a deeply personal work by Luis Alberto Spinetta. Acoustic guitars, open harmonies and a voice able to move from whisper to tension support surreal images without turning them into decoration. The album’s strangeness always keeps a human centre: care, fragility and resistance.	Open chords that leave the melody suspended.	Changes in intensity made almost entirely by the voice.	Artaud porte le nom d’un groupe mais constitue une œuvre profondément personnelle de Luis Alberto Spinetta. Guitares acoustiques, harmonies ouvertes et voix passant du murmure à la tension soutiennent des images surréalistes sans en faire un décor. L’étrangeté du disque conserve toujours un centre humain : soin, fragilité et résistance.	Les accords ouverts qui laissent la mélodie en suspension.	Les changements d’intensité produits presque uniquement par la voix.
album-072	Errare Humanum Est	A Tábua de Esmeralda convierte alquimia, historia y espiritualidad en materia bailable. Jorge Ben sostiene el álbum con una guitarra rítmica circular y una voz que puede narrar, invocar o jugar con las palabras sin salir del groove. La repetición no cierra el significado: permite que cada imagen adquiera nuevas asociaciones.	La guitarra que funciona al mismo tiempo como bajo y percusión.	Las palabras que cambian de peso al repetirse.	A Tábua de Esmeralda turns alchemy, history and spirituality into danceable material. Jorge Ben anchors the album with circular rhythmic guitar and a voice that can narrate, invoke or play with words without leaving the groove. Repetition does not close meaning down; it lets every image acquire new associations.	The guitar functioning as bass and percussion at once.	Words changing weight through repetition.	A Tábua de Esmeralda transforme alchimie, histoire et spiritualité en matière dansante. Jorge Ben ancre le disque dans une guitare rythmique circulaire et une voix capable de raconter, d’invoquer ou de jouer avec les mots sans quitter le groove. La répétition ne ferme pas le sens : elle permet à chaque image d’acquérir de nouvelles associations.	La guitare qui agit à la fois comme basse et percussion.	Les mots dont le poids change à force d’être répétés.
album-073	Water No Get Enemy	Expensive Shit concentra dos piezas extensas que muestran facetas complementarias del afrobeat. Fela Kuti puede usar el groove como vehículo para la sátira directa o como argumento sobre aquello que una comunidad necesita para vivir. Metales, guitarras y percusión no adornan el discurso: repiten hasta que la idea se vuelve corporal.	La entrada gradual de los metales sobre un pulso ya establecido.	Los pequeños cambios con que la banda renueva un groove largo.	Expensive Shit concentrates two extended pieces that show complementary sides of afrobeat. Fela Kuti can use groove for direct satire or as an argument about what a community needs in order to live. Horns, guitars and percussion do not decorate the discourse: they repeat until the idea becomes bodily.	The horns’ gradual entrance over an established pulse.	Small changes that renew a long groove.	Expensive Shit réunit deux longues pièces montrant des faces complémentaires de l’afrobeat. Fela Kuti utilise le groove pour la satire directe ou comme argument sur ce dont une communauté a besoin pour vivre. Cuivres, guitares et percussions ne décorent pas le discours : ils répètent jusqu’à rendre l’idée corporelle.	L’entrée progressive des cuivres sur une pulsation déjà installée.	Les petits changements qui renouvellent un long groove.
album-074	Fisherman	Heart of the Congos utiliza el estudio Black Ark como un instrumento. Lee “Scratch” Perry coloca las armonías de Cedric Myton y Roydel Johnson dentro de una mezcla con ecos, percusiones, graves y espacios que parecen moverse. La profundidad del dub no borra la canción: vuelve audible su dimensión espiritual y comunitaria.	Las armonías agudas que permanecen claras dentro del eco.	Los sonidos que aparecen brevemente en los bordes de la mezcla.	Heart of the Congos uses the Black Ark studio as an instrument. Lee “Scratch” Perry places Cedric Myton and Roydel Johnson’s harmonies inside a mix of echoes, percussion, bass weight and moving space. Dub depth does not erase the song; it makes its spiritual and communal dimension audible.	High harmonies that remain clear within the echo.	Sounds that appear briefly at the edges of the mix.	Heart of the Congos utilise le studio Black Ark comme un instrument. Lee « Scratch » Perry place les harmonies de Cedric Myton et Roydel Johnson dans un mixage d’échos, de percussions, de graves et d’espaces mouvants. La profondeur du dub n’efface pas la chanson : elle rend audible sa dimension spirituelle et communautaire.	Les harmonies aiguës qui restent nettes dans l’écho.	Les sons qui apparaissent brièvement aux marges du mixage.
album-075	1/1	Ambient 1: Music for Airports no pide atención constante ni desaparece en el fondo. Brian Eno organiza ciclos de distinta duración para que piano, voz y sintetizador coincidan de formas que nunca se repiten exactamente. La calma del álbum contiene incertidumbre: cada regreso resulta familiar, pero la combinación ha cambiado.	Las notas que desaparecen antes de que llegue su respuesta.	Las coincidencias entre ciclos que parecen suceder por azar.	Ambient 1: Music for Airports neither demands constant attention nor disappears into the background. Brian Eno organizes cycles of different lengths so piano, voice and synthesizer meet in combinations that never repeat exactly. The album’s calm contains uncertainty: every return feels familiar, yet the arrangement has changed.	Notes disappearing before their answer arrives.	Intersections between cycles that seem to happen by chance.	Ambient 1: Music for Airports n’exige pas une attention constante et ne disparaît pas non plus dans le décor. Brian Eno organise des cycles de durées différentes afin que piano, voix et synthétiseur se rencontrent sans jamais se répéter exactement. Le calme du disque contient de l’incertitude : chaque retour paraît familier, mais la combinaison a changé.	Les notes qui disparaissent avant l’arrivée de leur réponse.	Les rencontres entre cycles qui semblent dues au hasard.
