id	review_es	listen1_es	listen2_es	review_en	listen1_en	listen2_en	review_fr	listen1_fr	listen2_fr
song-055	Cold Sweat reduce la canción a un sistema de acentos interdependientes. James Brown dirige la banda como si cada guitarra, metal y golpe de batería fuera una pieza de percusión; la armonía casi inmóvil no limita el movimiento, lo concentra en el primer tiempo y en las variaciones mínimas del groove.	El “one”: ese primer golpe común que reordena todo el compás.	La guitarra cortante, pequeña en volumen pero decisiva para el engranaje.	Cold Sweat reduces the song to a system of interdependent accents. James Brown directs the band as if every guitar, horn and drum hit were percussion; the nearly static harmony does not restrict motion but concentrates it on the first beat and the groove’s minute variations.	The “one”: that shared first hit which reorganizes the entire bar.	The clipped guitar, low in volume but decisive to the mechanism.	Cold Sweat réduit la chanson à un système d’accents interdépendants. James Brown dirige le groupe comme si chaque guitare, cuivre et coup de batterie appartenait aux percussions ; l’harmonie presque immobile ne limite pas le mouvement, elle le concentre sur le premier temps et sur les infimes variations du groove.	Le « one » : ce premier impact commun qui réorganise toute la mesure.	La guitare tranchante, discrète dans le mix mais décisive dans l’engrenage.
song-017	A Day in the Life convierte dos fragmentos inconclusos en una forma que ninguno habría alcanzado por separado. La voz distante de John Lennon, la escena cotidiana de Paul McCartney y los ascensos orquestales no intentan fundirse limpiamente: el estudio conserva sus costuras y hace de ellas el tema de la canción.	La batería de Ringo Starr, que comenta la melodía con redobles en vez de marcarla de forma regular.	El acorde final y su larga desaparición, donde el silencio también forma parte de la obra.	A Day in the Life turns two unfinished fragments into a form neither could have reached alone. John Lennon’s distant voice, Paul McCartney’s everyday scene and the orchestral rises do not try to merge cleanly: the studio preserves their seams and makes them the song’s subject.	Ringo Starr’s drums, commenting on the melody with fills rather than marking it regularly.	The final chord and its long decay, where silence becomes part of the work.	A Day in the Life transforme deux fragments inachevés en une forme qu’aucun n’aurait atteinte seul. La voix distante de John Lennon, la scène quotidienne de Paul McCartney et les montées orchestrales ne cherchent pas à se fondre proprement : le studio conserve leurs coutures et en fait le sujet même de la chanson.	La batterie de Ringo Starr, qui commente la mélodie par des roulements au lieu de la marquer régulièrement.	L’accord final et sa longue extinction, où le silence devient partie intégrante de l’œuvre.
song-019	Wichita Lineman encuentra grandeza en un trabajo solitario y una frase que nunca resuelve del todo su deseo. Jimmy Webb sitúa al personaje entre cables, clima y distancia; Glen Campbell canta sin exagerar la soledad, mientras el bajo, las cuerdas y el solo de guitarra sugieren una señal que viaja más lejos que las palabras.	La línea de bajo descendente que da profundidad a un arreglo aparentemente sereno.	El solo en el bajo de seis cuerdas, sonido técnico convertido en voz interior.	Wichita Lineman finds grandeur in solitary work and in a phrase whose longing never fully resolves. Jimmy Webb places the character among wires, weather and distance; Glen Campbell sings without overstating the loneliness, while bass, strings and the guitar solo suggest a signal travelling farther than words.	The descending bass line giving depth to an apparently calm arrangement.	The six-string bass solo, a technical sound transformed into inner voice.	Wichita Lineman trouve de la grandeur dans un travail solitaire et dans une phrase dont le désir ne se résout jamais tout à fait. Jimmy Webb place le personnage parmi les câbles, le climat et la distance ; Glen Campbell chante sans exagérer la solitude, tandis que basse, cordes et solo de guitare suggèrent un signal qui voyage plus loin que les mots.	La ligne de basse descendante qui donne de la profondeur à un arrangement apparemment paisible.	Le solo de basse à six cordes, son technique transformé en voix intérieure.
song-056	A Minha Menina trata la psicodelia como choque, no como niebla. Os Mutantes colocan una guitarra áspera sobre un ritmo de samba que mantiene su ligereza, y las voces se mueven con la naturalidad de una fiesta; la distorsión no tapa la tradición, la vuelve más visible por contraste.	El ataque comprimido de la guitarra, casi como un instrumento de percusión.	Las voces colectivas que conservan el balance aun cuando el timbre se vuelve agresivo.	A Minha Menina treats psychedelia as collision rather than haze. Os Mutantes place a rough guitar over a samba rhythm that retains its lightness, while the voices move with the ease of a party; distortion does not hide tradition but makes it more visible through contrast.	The compressed guitar attack, almost functioning as percussion.	The collective voices preserving the balance even as the timbre turns abrasive.	A Minha Menina aborde le psychédélisme comme une collision plutôt que comme une brume. Os Mutantes posent une guitare rugueuse sur un rythme de samba qui garde sa légèreté, tandis que les voix circulent avec l’aisance d’une fête ; la distorsion ne masque pas la tradition, elle la rend plus visible par contraste.	L’attaque comprimée de la guitare, presque utilisée comme une percussion.	Les voix collectives qui préservent l’équilibre même lorsque le timbre devient agressif.
song-057	Duerme negrito conserva la forma circular de una canción de cuna y la llena con una realidad laboral brutal. Mercedes Sosa canta desde la ternura, no desde la distancia; por eso cada promesa de comida o descanso deja oír también la ausencia de la madre y el costo que sostiene esa calma.	La repetición de la melodía, cada vez menos reconfortante a medida que avanza el relato.	La gravedad de la voz cuando la letra abandona la promesa y nombra el trabajo.	Duerme negrito keeps the circular form of a lullaby and fills it with a brutal reality of labour. Mercedes Sosa sings from tenderness rather than distance; each promise of food or rest therefore also reveals the absent mother and the cost sustaining that calm.	The repeated melody, less comforting each time as the story advances.	The gravity in the voice when the lyric leaves promises behind and names the work.	Duerme negrito conserve la forme circulaire d’une berceuse et la remplit d’une brutale réalité du travail. Mercedes Sosa chante depuis la tendresse, non depuis la distance ; chaque promesse de nourriture ou de repos laisse ainsi entendre l’absence de la mère et le prix qui soutient ce calme.	La répétition de la mélodie, de moins en moins rassurante à mesure que le récit progresse.	La gravité de la voix lorsque le texte quitte la promesse pour nommer le travail.
song-058	Nassam Alayna el-Hawa hace del viento una memoria en movimiento. Fairuz sostiene la melodía con claridad y sin exceso de vibrato, mientras cuerdas, percusión y coro abren el paisaje alrededor de ella; la nostalgia no detiene la canción, la impulsa hacia un lugar que existe tanto en la voz como en el recuerdo.	El ascenso de la melodía sobre una percusión que permanece ligera.	Las respuestas del coro, que convierten una memoria individual en escena compartida.	Nassam Alayna el-Hawa turns the wind into memory in motion. Fairuz holds the melody with clarity and little excess vibrato, while strings, percussion and chorus open the landscape around her; nostalgia does not stop the song but drives it towards a place existing equally in voice and recollection.	The melody rising over percussion that remains light.	The chorus replies turning an individual memory into a shared scene.	Nassam Alayna el-Hawa fait du vent une mémoire en mouvement. Fairuz tient la mélodie avec clarté et sans vibrato excessif, tandis que cordes, percussions et chœur ouvrent le paysage autour d’elle ; la nostalgie n’arrête pas la chanson, elle la pousse vers un lieu qui existe autant dans la voix que dans le souvenir.	La montée de la mélodie au-dessus de percussions qui restent légères.	Les réponses du chœur, qui transforment une mémoire individuelle en scène partagée.
song-066	Cementerio Club mira la muerte con una mezcla difícil de tristeza, humor seco y cercanía. Spinetta evita el dramatismo: canta como quien comparte una imagen privada, mientras la guitarra de blues contesta con frases breves y la banda deja suficiente aire para que la ironía no borre la melancolía.	El quiebre entre el riff áspero y la entrada casi conversada de la voz.	Los silencios de la banda, que permiten que el doble sentido permanezca abierto.	Cementerio Club faces death with a difficult mixture of sadness, dry humour and intimacy. Spinetta avoids drama, singing as though sharing a private image, while the blues guitar answers in short phrases and the band leaves enough air for irony not to erase melancholy.	The break between the rough riff and the almost conversational vocal entrance.	The band’s silences, allowing the double meaning to remain open.	Cementerio Club regarde la mort avec un mélange délicat de tristesse, d’humour sec et de proximité. Spinetta évite le pathos et chante comme s’il confiait une image privée, tandis que la guitare blues répond par de courtes phrases et que le groupe laisse assez d’air pour que l’ironie n’efface pas la mélancolie.	La rupture entre le riff rugueux et l’entrée presque parlée de la voix.	Les silences du groupe, qui laissent le double sens ouvert.
song-067	Águas de Março enumera palos, piedras, lluvia y restos cotidianos hasta construir un mundo entero sin jerarquías. Elis Regina y Tom Jobim no interpretan el texto de la misma manera: se imitan, se corrigen y se hacen reír, de modo que la conversación revela el ingenio rítmico que la lista de palabras podría esconder.	Las entradas que se adelantan una a otra sin romper el pulso de la guitarra.	La risa final, consecuencia musical de una escucha mutua mantenida durante toda la toma.	Águas de Março lists sticks, stones, rain and everyday remnants until it builds an entire world without hierarchy. Elis Regina and Tom Jobim do not read the words the same way: they imitate, correct and amuse each other, turning conversation into the means by which the lyric’s hidden rhythmic wit becomes audible.	The entrances overtaking one another without disturbing the guitar pulse.	The final laughter, a musical consequence of sustained mutual listening throughout the take.	Águas de Março énumère bâtons, pierres, pluie et débris quotidiens jusqu’à construire un monde entier sans hiérarchie. Elis Regina et Tom Jobim ne disent pas le texte de la même façon : ils s’imitent, se corrigent et se font rire, si bien que leur conversation révèle l’ingéniosité rythmique que la liste de mots pourrait dissimuler.	Les entrées qui se devancent sans rompre le rythme de la guitare.	Le rire final, conséquence musicale d’une écoute mutuelle maintenue pendant toute la prise.
song-068	Os Alquimistas Estão Chegando os Alquimistas convierte una procesión imaginaria en groove. Jorge Ben repite la llegada de sus personajes como un conjuro, pero guitarra, bajo y percusión modifican continuamente el peso de la frase; lo circular nunca es inmóvil y la celebración conserva algo de misterio.	La guitarra acústica, tocada con un ataque que funciona a la vez como armonía y percusión.	Los coros que aparecen por capas hasta dar cuerpo colectivo a los alquimistas.	Os Alquimistas Estão Chegando os Alquimistas turns an imaginary procession into groove. Jorge Ben repeats the arrival of his characters like an incantation, yet guitar, bass and percussion continually alter the phrase’s weight; the circular form never stands still, and the celebration retains an element of mystery.	The acoustic guitar attack functioning as harmony and percussion at once.	The choruses arriving in layers until the alchemists acquire a collective body.	Os Alquimistas Estão Chegando os Alquimistas transforme une procession imaginaire en groove. Jorge Ben répète l’arrivée de ses personnages comme une incantation, mais guitare, basse et percussions déplacent sans cesse le poids de la phrase ; la forme circulaire ne reste jamais immobile et la célébration conserve une part de mystère.	L’attaque de la guitare acoustique, qui sert à la fois d’harmonie et de percussion.	Les chœurs qui arrivent par couches jusqu’à donner aux alchimistes un corps collectif.
song-069	Tezeta trabaja con la memoria sin convertirla en confesión. Mulatu Astatke deja que la melodía pase entre vibráfono y metales sobre un pulso contenido, donde cada nota parece observar a la anterior desde otra distancia. El resultado es melancólico, pero también sereno y profundamente físico.	El vibráfono, cuyo brillo enfría y prolonga la melodía.	La batería discreta que mantiene el vaivén sin resolverlo en un groove más enfático.	Tezeta works with memory without turning it into confession. Mulatu Astatke lets the melody pass between vibraphone and horns over a restrained pulse, each note seeming to regard the previous one from a different distance. The result is melancholy but also calm and deeply physical.	The vibraphone, whose brightness cools and extends the melody.	The discreet drums maintaining the sway without resolving it into a more emphatic groove.	Tezeta travaille la mémoire sans la transformer en confession. Mulatu Astatke laisse la mélodie circuler entre vibraphone et cuivres sur un rythme retenu, chaque note semblant observer la précédente depuis une autre distance. Le résultat est mélancolique, mais aussi serein et profondément physique.	Le vibraphone, dont l’éclat refroidit et prolonge la mélodie.	La batterie discrète qui maintient le balancement sans le résoudre en un groove plus appuyé.
song-070	Water No Get Enemy parte de un proverbio sencillo y lo expande hasta volverlo argumento político, celebración y prueba de resistencia física. Fela Kuti no conduce la pieza hacia un estribillo rápido: permite que bajo, guitarras, metales y voces encuentren su sitio durante una larga acumulación cuyo poder depende de la paciencia.	La línea de bajo que mantiene su identidad mientras todo a su alrededor aumenta de densidad.	Las entradas escalonadas de los metales, más cercanas a una discusión que a un adorno.	Water No Get Enemy begins with a simple proverb and expands it into political argument, celebration and a test of physical endurance. Fela Kuti does not hurry the piece towards a chorus: he lets bass, guitars, horns and voices find their place through a long accumulation whose power depends on patience.	The bass line retaining its identity as everything around it grows denser.	The staggered horn entrances, closer to an argument than to decoration.	Water No Get Enemy part d’un proverbe simple et l’élargit jusqu’à en faire argument politique, célébration et épreuve d’endurance physique. Fela Kuti ne précipite pas le morceau vers un refrain : il laisse basse, guitares, cuivres et voix trouver leur place au cours d’une longue accumulation dont la puissance dépend de la patience.	La ligne de basse qui conserve son identité tandis que tout s’épaissit autour d’elle.	Les entrées successives des cuivres, plus proches d’une discussion que d’un ornement.
song-071	O Mundo É um Moinho entrega una advertencia devastadora con una melodía de extraordinaria suavidad. Cartola no eleva la voz ni juzga al personaje al que se dirige; canta desde el afecto y la experiencia, mientras la samba avanza con una elegancia que vuelve más doloroso cada pronóstico.	El descenso melódico que parece aceptar aquello que la letra quisiera evitar.	La dicción tranquila de Cartola, capaz de hacer íntima una advertencia absoluta.	O Mundo É um Moinho delivers a devastating warning through an extraordinarily gentle melody. Cartola neither raises his voice nor judges the person he addresses; he sings from affection and experience while the samba moves with an elegance that makes every prediction more painful.	The descending melody seeming to accept what the words would rather prevent.	Cartola’s calm diction, able to make an absolute warning intimate.	O Mundo É um Moinho livre un avertissement dévastateur sur une mélodie d’une douceur extraordinaire. Cartola n’élève pas la voix et ne juge pas la personne à qui il s’adresse ; il chante depuis l’affection et l’expérience, tandis que la samba avance avec une élégance qui rend chaque présage plus douloureux.	La mélodie descendante, qui semble accepter ce que le texte voudrait empêcher.	La diction paisible de Cartola, capable de rendre intime un avertissement absolu.
song-072	Amelia superpone el vuelo de una aviadora, un viaje por carretera y la dificultad de permanecer junto a alguien. Joni Mitchell hace que las afinaciones abiertas produzcan un horizonte en movimiento; el bajo sin trastes de Jaco Pastorius no ancla la canción, la acompaña como otra ruta que se curva bajo la voz.	Los armónicos de guitarra que abren espacio entre las imágenes del texto.	El bajo que sube y desciende con independencia, sin disputar el centro narrativo.	Amelia overlays an aviator’s flight, a road journey and the difficulty of remaining beside someone. Joni Mitchell makes open tunings produce a horizon in motion; Jaco Pastorius’s fretless bass does not anchor the song but accompanies it like another road curving beneath the voice.	The guitar harmonics opening space among the lyric’s images.	The bass rising and falling independently without contesting the narrative centre.	Amelia superpose le vol d’une aviatrice, un voyage sur la route et la difficulté de rester auprès de quelqu’un. Joni Mitchell fait des accords ouverts un horizon en mouvement ; la basse fretless de Jaco Pastorius n’ancre pas la chanson, elle l’accompagne comme une autre route qui se courbe sous la voix.	Les harmoniques de guitare qui ouvrent de l’espace entre les images du texte.	La basse qui monte et descend avec indépendance sans disputer le centre narratif.
song-022	As mide la permanencia del amor con imágenes imposibles y la convierte, poco a poco, en una experiencia colectiva. Stevie Wonder parte de una declaración cercana, pero el cambio de sección, el coro y la intensificación rítmica desplazan la canción desde la pareja hacia una promesa capaz de incluir a toda la sala.	El bajo de Nathan Watts, melódico y firme debajo de una armonía que no deja de moverse.	La transición hacia el coro final, donde la repetición aumenta la escala sin vaciar las palabras.	As measures enduring love through impossible images and gradually turns it into a collective experience. Stevie Wonder begins with an intimate declaration, but the sectional change, chorus and rhythmic intensification move the song from the couple towards a promise able to include the whole room.	Nathan Watts’s bass, melodic and firm beneath harmony that never stops moving.	The transition into the final chorus, where repetition enlarges the scale without emptying the words.	As mesure la permanence de l’amour à l’aide d’images impossibles et la transforme peu à peu en expérience collective. Stevie Wonder part d’une déclaration intime, mais le changement de section, le chœur et l’intensification rythmique déplacent la chanson du couple vers une promesse capable d’inclure toute la salle.	La basse de Nathan Watts, mélodique et ferme sous une harmonie toujours en mouvement.	La transition vers le chœur final, où la répétition agrandit l’échelle sans vider les mots.
song-021	Sound and Vision organiza una espera: batería tratada, bajo, guitarra y sintetizadores ocupan el escenario mucho antes de que David Bowie diga una palabra. Cuando entra la voz, breve y casi distraída, el arreglo luminoso queda atravesado por una imagen de aislamiento; esa diferencia de temperatura es el centro de la canción.	La voz de Mary Hopkin, convertida en color antes de que aparezca el narrador.	La tardía entrada de Bowie, que obliga a reinterpretar todo el tramo instrumental.	Sound and Vision organizes a wait: treated drums, bass, guitar and synthesizers occupy the stage long before David Bowie says a word. When his brief, almost distracted voice arrives, the bright arrangement is crossed by an image of isolation; that difference in temperature is the song’s centre.	Mary Hopkin’s voice, used as colour before the narrator appears.	Bowie’s late entrance, forcing a reinterpretation of the entire instrumental opening.	Sound and Vision organise une attente : batterie traitée, basse, guitare et synthétiseurs occupent la scène bien avant que David Bowie ne prononce un mot. Lorsque sa voix brève, presque distraite, apparaît, l’arrangement lumineux est traversé par une image d’isolement ; cet écart de température constitue le cœur de la chanson.	La voix de Mary Hopkin, transformée en couleur avant l’apparition du narrateur.	L’entrée tardive de Bowie, qui oblige à réinterpréter toute l’ouverture instrumentale.
song-073	Soweto Blues hace que la música bailable cargue una noticia insoportable sin volverla espectáculo. Miriam Makeba canta sobre la violencia del levantamiento de Soweto con claridad directa; las respuestas vocales y el pulso de Hugh Masekela sostienen una comunidad sonora que se niega a ser reducida al duelo.	El contraste entre la agilidad rítmica y la gravedad de cada nombre e imagen.	Las respuestas del coro, que convierten el testimonio en memoria compartida.	Soweto Blues makes dance music carry unbearable news without turning it into spectacle. Miriam Makeba sings of the violence surrounding the Soweto uprising with direct clarity; the vocal replies and Hugh Masekela’s pulse sustain a sonic community refusing to be reduced to mourning.	The contrast between rhythmic agility and the weight of every name and image.	The chorus replies turning testimony into shared memory.	Soweto Blues fait porter à une musique dansante une nouvelle insoutenable sans la transformer en spectacle. Miriam Makeba chante la violence du soulèvement de Soweto avec une clarté directe ; les réponses vocales et le rythme de Hugh Masekela soutiennent une communauté sonore qui refuse d’être réduite au deuil.	Le contraste entre l’agilité rythmique et le poids de chaque nom, de chaque image.	Les réponses du chœur, qui transforment le témoignage en mémoire partagée.
